⚠️ File truncated for preview (showing first 0.5MB of 3.0MB)
────────────────────────────────────────────────────────────

timestamp,zone,flow_rate_gpm,pressure_psi,billed_consumption_gpm,nrw_gpm,nrw_percent,pressure_compliant
2024-01-01 00:00:00,Zone-A-Downtown,237.8,83.0,133.8,104.1,43.75,No
2024-01-01 00:00:00,Zone-B-North,258.3,56.3,145.3,113.0,43.75,Yes
2024-01-01 00:00:00,Zone-C-South,316.4,72.0,189.9,126.6,40.0,Yes
2024-01-01 00:00:00,Zone-D-East,370.3,65.2,208.3,162.0,43.75,Yes
2024-01-01 00:00:00,Zone-E-West,395.2,60.0,222.3,172.9,43.75,Yes
2024-01-01 00:00:00,Zone-F-Industrial,446.7,48.7,251.3,195.4,43.75,Yes
2024-01-01 00:00:00,Zone-G-Coastal,458.6,57.1,298.1,160.5,35.0,Yes
2024-01-01 00:00:00,Zone-H-Hills,500.7,44.0,440.6,60.1,12.0,Yes
2024-01-01 01:00:00,Zone-A-Downtown,236.3,71.5,132.9,103.4,43.75,Yes
2024-01-01 01:00:00,Zone-B-North,259.1,57.0,145.8,113.4,43.75,Yes
2024-01-01 01:00:00,Zone-C-South,258.6,67.4,155.2,103.4,40.0,Yes
2024-01-01 01:00:00,Zone-D-East,378.3,57.4,212.8,165.5,43.75,Yes
2024-01-01 01:00:00,Zone-E-West,387.7,52.7,218.1,169.6,43.75,Yes
2024-01-01 01:00:00,Zone-F-Industrial,433.9,61.2,244.1,189.8,43.75,Yes
2024-01-01 01:00:00,Zone-G-Coastal,450.8,65.0,293.0,157.8,35.0,Yes
2024-01-01 01:00:00,Zone-H-Hills,530.0,43.7,466.4,63.6,12.0,Yes
2024-01-01 02:00:00,Zone-A-Downtown,216.0,86.4,121.5,94.5,43.75,No
2024-01-01 02:00:00,Zone-B-North,243.7,50.4,137.1,106.6,43.75,Yes
2024-01-01 02:00:00,Zone-C-South,298.0,56.4,178.8,119.2,40.0,Yes
2024-01-01 02:00:00,Zone-D-East,367.1,54.3,206.5,160.6,43.75,Yes
2024-01-01 02:00:00,Zone-E-West,421.3,60.5,237.0,184.3,43.75,Yes
2024-01-01 02:00:00,Zone-F-Industrial,449.6,66.9,252.9,196.7,43.75,Yes
2024-01-01 02:00:00,Zone-G-Coastal,506.7,61.6,329.3,177.3,35.0,Yes
2024-01-01 02:00:00,Zone-H-Hills,518.3,51.0,456.1,62.2,12.0,Yes
2024-01-01 03:00:00,Zone-A-Downtown,254.7,78.8,143.3,111.4,43.75,Yes
2024-01-01 03:00:00,Zone-B-North,246.7,58.3,138.8,107.9,43.75,Yes
2024-01-01 03:00:00,Zone-C-South,336.1,57.7,201.6,134.4,40.0,Yes
2024-01-01 03:00:00,Zone-D-East,349.2,54.6,196.4,152.8,43.75,Yes
2024-01-01 03:00:00,Zone-E-West,404.4,68.1,227.5,176.9,43.75,Yes
2024-01-01 03:00:00,Zone-F-Industrial,395.7,58.6,222.6,173.1,43.75,Yes
2024-01-01 03:00:00,Zone-G-Coastal,465.8,53.6,302.8,163.0,35.0,Yes
2024-01-01 03:00:00,Zone-H-Hills,501.9,44.9,441.7,60.2,12.0,Yes
2024-01-01 04:00:00,Zone-A-Downtown,216.6,78.7,121.8,94.8,43.75,Yes
2024-01-01 04:00:00,Zone-B-North,273.8,57.8,154.0,119.8,43.75,Yes
2024-01-01 04:00:00,Zone-C-South,344.1,62.7,206.4,137.6,40.0,Yes
2024-01-01 04:00:00,Zone-D-East,339.2,56.8,190.8,148.4,43.75,Yes
2024-01-01 04:00:00,Zone-E-West,394.6,63.7,221.9,172.6,43.75,Yes
2024-01-01 04:00:00,Zone-F-Industrial,464.8,58.3,261.4,203.3,43.75,Yes
2024-01-01 04:00:00,Zone-G-Coastal,491.4,59.5,319.4,172.0,35.0,Yes
2024-01-01 04:00:00,Zone-H-Hills,522.1,44.6,459.4,62.7,12.0,Yes
2024-01-01 05:00:00,Zone-A-Downtown,230.0,78.6,129.4,100.6,43.75,Yes
2024-01-01 05:00:00,Zone-B-North,278.3,61.7,156.5,121.8,43.75,Yes
2024-01-01 05:00:00,Zone-C-South,352.3,52.0,211.4,140.9,40.0,Yes
2024-01-01 05:00:00,Zone-D-East,335.0,61.4,188.4,146.6,43.75,Yes
2024-01-01 05:00:00,Zone-E-West,404.1,52.1,227.3,176.8,43.75,Yes
2024-01-01 05:00:00,Zone-F-Industrial,463.4,57.5,260.6,202.7,43.75,Yes
